urgent_surgeries;location;region;conventional_surgeries;health_centre;period;scheduled_surgeries;ambulatory_surgeries
794;[40.2804158, -7.4922407];Região de Saúde do Centro;2709;Centro Hospitalar Universitário Cova da Beira, EPE;2016-11;6422;3713
4523;[38.7422257, -9.2264834];Região de Saúde LVT;4627;Hospital Professor Doutor Fernando Fonseca, EPE;2016-11;12359;7732
4727;[41.1472498, -8.6172617];Região de Saúde Norte;10663;Centro Hospitalar Universitário do Porto, EPE;2016-11;27707;17044
2324;[40.9293884, -8.5458794];Região de Saúde Norte;6587;Centro Hospitalar Entre Douro e Vouga, EPE;2016-11;15328;8741
2587;[41.1094138, -8.5972617];Região de Saúde Norte;7853;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2016-11;20624;12771
520;[41.1785642, -8.6062881];Região de Saúde Norte;5168;Instituto Português Oncologia do Porto, EPE;2016-11;11572;6404
1512;[41.8056532, -6.7888197];Região de Saúde Norte;1674;Unidade Local de Saúde do Nordeste, EPE;2016-11;4529;2855
1378;[38.5684861, -7.9032848];Região de Saúde do Alentejo;4604;Hospital Espírito Santo de Évora, EPE;2016-12;12737;8133
1171;[38.014123, -7.8721227];Região de Saúde do Alentejo;1665;Unidade Local de Saúde do Baixo Alentejo, EPE;2016-12;4335;2670
4003;[37.0238973, -7.9281554];Região de Saúde do Algarve;4238;Centro Hospitalar Universitário do Algarve,EPE;2016-12;9633;5395
1242;[38.977235, -8.984506];Região de Saúde LVT;2895;Hospital de Vila Franca de Xira, PPP;2016-12;9520;6625
1708;[39.2410946, -8.6937515];Região de Saúde LVT;1542;Hospital Distrital de Santarém, EPE;2016-12;5537;3995
5024;[38.7422257, -9.2264834];Região de Saúde LVT;5047;Hospital Professor Doutor Fernando Fonseca, EPE;2016-12;13507;8460
1138;[41.3828711, -8.7589945];Região de Saúde Norte;3210;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2016-12;5702;2492
2958;[41.2494561, -8.264901];Região de Saúde Norte;7086;Centro Hospitalar Tâmega e Sousa, EPE;2016-12;21067;13981
2030;[41.4387173, -8.3086907];Região de Saúde Norte;5237;Hospital da Senhora da Oliveira, Guimarães, EPE;2016-12;11486;6249
114;[38.5684861, -7.9032848];Região de Saúde do Alentejo;491;Hospital Espírito Santo de Évora, EPE;2017-01;1343;852
109;[38.014123, -7.8721227];Região de Saúde do Alentejo;123;Unidade Local de Saúde do Baixo Alentejo, EPE;2017-01;419;296
82;[38.0162314, -8.6956768];Região de Saúde do Alentejo;108;Unidade Local de Saúde do Litoral Alentejano, EPE;2017-01;424;316
70;[40.117897, -8.8586755];Região de Saúde do Centro;112;Hospital Distrital da Figueira da Foz, EPE;2017-01;553;441
198;[38.821455, -9.176296];Região de Saúde LVT;361;Hospital de Loures, PPP;2017-01;968;607
151;[39.2410946, -8.6937515];Região de Saúde LVT;170;Hospital Distrital de Santarém, EPE;2017-01;494;324
40;[38.7396768, -9.1634516];Região de Saúde LVT;406;Instituto Português Oncologia de Lisboa, EPE;2017-01;598;192
164;[41.3031784, -7.7515252];Região de Saúde Norte;428;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2017-01;1276;848
232;[41.1094138, -8.5972617];Região de Saúde Norte;699;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2017-01;2013;1314
36;[41.1785642, -8.6062881];Região de Saúde Norte;498;Instituto Português Oncologia do Porto, EPE;2017-01;1068;570
114;[38.5684861, -7.9032848];Região de Saúde do Alentejo;491;Hospital Espírito Santo de Évora, EPE;2017-02;1343;852
196;[38.014123, -7.8721227];Região de Saúde do Alentejo;255;Unidade Local de Saúde do Baixo Alentejo, EPE;2017-02;796;541
549;[37.0238973, -7.9281554];Região de Saúde do Algarve;819;Centro Hospitalar Universitário do Algarve,EPE;2017-02;1875;1056
271;[40.6362453, -8.6543716];Região de Saúde do Centro;547;Centro Hospitalar do Baixo Vouga, EPE;2017-02;1563;1016
443;[40.516364, -8.0827433];Região de Saúde do Centro;832;Centro Hospitalar Tondela-Viseu, EPE;2017-02;2976;2144
166;[39.8212263, -7.4981271];Região de Saúde do Centro;396;Unidade Local de Saúde de Castelo Branco, EPE;2017-02;975;579
454;[38.708454, -9.216985];Região de Saúde LVT;1277;Centro Hospitalar de Lisboa Ocidental, EPE;2017-02;2803;1526
225;[39.2410946, -8.6937515];Região de Saúde LVT;318;Hospital Distrital de Santarém, EPE;2017-02;1027;709
328;[38.7422257, -9.2264834];Região de Saúde LVT;1226;Hospital Professor Doutor Fernando Fonseca, EPE;2017-02;2927;1701
227;[41.3423984, -8.4802503];Região de Saúde Norte;350;Centro Hospitalar do Médio Ave, EPE;2017-02;1099;749
193;[41.3828711, -8.7589945];Região de Saúde Norte;562;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2017-02;1073;511
680;[40.516364, -8.0827433];Região de Saúde do Centro;1423;Centro Hospitalar Tondela-Viseu, EPE;2017-03;4932;3509
209;[40.117897, -8.8586755];Região de Saúde do Centro;478;Hospital Distrital da Figueira da Foz, EPE;2017-03;1894;1416
225;[38.6554005, -9.0592392];Região de Saúde LVT;752;Centro Hospitalar Barreiro/Montijo, EPE;2017-03;1752;1000
1585;[38.7166948, -9.1371248];Região de Saúde LVT;3518;Centro Hospitalar Universitário Lisboa Central, EPE;2017-03;8657;5139
679;[38.708454, -9.216985];Região de Saúde LVT;1976;Centro Hospitalar de Lisboa Ocidental, EPE;2017-03;4411;2435
565;[38.821455, -9.176296];Região de Saúde LVT;1064;Hospital de Loures, PPP;2017-03;2912;1848
335;[38.977235, -8.984506];Região de Saúde LVT;795;Hospital de Vila Franca de Xira, PPP;2017-03;2772;1977
516;[38.7422257, -9.2264834];Região de Saúde LVT;1855;Hospital Professor Doutor Fernando Fonseca, EPE;2017-03;4509;2654
345;[41.3423984, -8.4802503];Região de Saúde Norte;556;Centro Hospitalar do Médio Ave, EPE;2017-03;1787;1231
493;[41.4387173, -8.3086907];Região de Saúde Norte;1217;Hospital da Senhora da Oliveira, Guimarães, EPE;2017-03;3129;1912
135;[41.1785642, -8.6062881];Região de Saúde Norte;1523;Instituto Português Oncologia do Porto, EPE;2017-03;3389;1866
1143;[37.0238973, -7.9281554];Região de Saúde do Algarve;1797;Centro Hospitalar Universitário do Algarve,EPE;2017-04;3821;2024
915;[39.7414812, -8.7982706];Região de Saúde do Centro;1444;Centro Hospitalar de Leiria, EPE;2017-04;4442;2998
679;[40.6362453, -8.6543716];Região de Saúde do Centro;1137;Centro Hospitalar do Baixo Vouga, EPE;2017-04;3188;2051
2165;[38.7166948, -9.1371248];Região de Saúde LVT;4514;Centro Hospitalar Universitário Lisboa Central, EPE;2017-04;11129;6615
911;[38.708454, -9.216985];Região de Saúde LVT;2556;Centro Hospitalar de Lisboa Ocidental, EPE;2017-04;5787;3231
673;[38.7422257, -9.2264834];Região de Saúde LVT;2359;Hospital Professor Doutor Fernando Fonseca, EPE;2017-04;5828;3469
459;[41.3423984, -8.4802503];Região de Saúde Norte;702;Centro Hospitalar do Médio Ave, EPE;2017-04;2337;1635
354;[41.3828711, -8.7589945];Região de Saúde Norte;1066;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2017-04;2051;985
689;[41.3031784, -7.7515252];Região de Saúde Norte;1565;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2017-04;5033;3468
178;[41.1785642, -8.6062881];Região de Saúde Norte;2009;Instituto Português Oncologia do Porto, EPE;2017-04;4455;2446
581;[41.1794456, -8.6745115];Região de Saúde Norte;1521;Unidade Local de Saúde de Matosinhos, EPE;2017-04;5173;3652
1159;[39.7414812, -8.7982706];Região de Saúde do Centro;1762;Centro Hospitalar de Leiria, EPE;2017-05;5472;3710
874;[40.6362453, -8.6543716];Região de Saúde do Centro;1405;Centro Hospitalar do Baixo Vouga, EPE;2017-05;3952;2547
377;[39.8212263, -7.4981271];Região de Saúde do Centro;987;Unidade Local de Saúde de Castelo Branco, EPE;2017-05;2512;1525
353;[38.6554005, -9.0592392];Região de Saúde LVT;1243;Centro Hospitalar Barreiro/Montijo, EPE;2017-05;2874;1631
1050;[38.6658713, -9.1822554];Região de Saúde LVT;1846;Hospital Garcia de Orta, EPE;2017-05;5753;3907
2103;[41.1472498, -8.6172617];Região de Saúde Norte;4975;Centro Hospitalar Universitário do Porto, EPE;2017-05;13337;8362
1037;[40.9293884, -8.5458794];Região de Saúde Norte;2875;Centro Hospitalar Entre Douro e Vouga, EPE;2017-05;7500;4625
862;[41.3031784, -7.7515252];Região de Saúde Norte;1887;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2017-05;6251;4364
641;[41.8056532, -6.7888197];Região de Saúde Norte;824;Unidade Local de Saúde do Nordeste, EPE;2017-05;1971;1147
553;[38.5684861, -7.9032848];Região de Saúde do Alentejo;2560;Hospital Espírito Santo de Évora, EPE;2017-06;7090;4530
1779;[37.0238973, -7.9281554];Região de Saúde do Algarve;2685;Centro Hospitalar Universitário do Algarve,EPE;2017-06;5658;2973
1383;[39.7414812, -8.7982706];Região de Saúde do Centro;2053;Centro Hospitalar de Leiria, EPE;2017-06;6612;4559
433;[40.117897, -8.8586755];Região de Saúde do Centro;972;Hospital Distrital da Figueira da Foz, EPE;2017-06;3735;2763
755;[38.5283754, -8.8818638];Região de Saúde LVT;1789;Centro Hospitalar de Setúbal, EPE;2017-06;5900;4111
1224;[38.729006, -9.418267];Região de Saúde LVT;922;Hospital de Cascais, PPP;2017-06;3828;2906
639;[39.2410946, -8.6937515];Região de Saúde LVT;978;Hospital Distrital de Santarém, EPE;2017-06;3200;2222
1237;[40.9293884, -8.5458794];Região de Saúde Norte;3438;Centro Hospitalar Entre Douro e Vouga, EPE;2017-06;8795;5357
1011;[41.4387173, -8.3086907];Região de Saúde Norte;2407;Hospital da Senhora da Oliveira, Guimarães, EPE;2017-06;6104;3697
1461;[41.56785, -8.398982];Região de Saúde Norte;4125;Hospital de Braga, PPP;2017-06;12365;8240
1104;[41.7056054, -8.8252713];Região de Saúde Norte;2329;Unidade Local de Saúde do Alto Minho, EPE;2017-06;7309;4980
546;[39.3003425, -7.4263845];Região de Saúde do Alentejo;1217;Unidade Local de Saúde do Norte Alentejano, EPE;2017-07;3362;2145
2105;[37.0238973, -7.9281554];Região de Saúde do Algarve;3064;Centro Hospitalar Universitário do Algarve,EPE;2017-07;6595;3531
1126;[40.6362453, -8.6543716];Região de Saúde do Centro;1943;Centro Hospitalar do Baixo Vouga, EPE;2017-07;5475;3532
560;[40.5309916, -7.2734793];Região de Saúde do Centro;1453;Unidade Local de Saúde da Guarda, EPE;2017-07;4123;2670
3922;[38.7166948, -9.1371248];Região de Saúde LVT;7904;Centro Hospitalar Universitário Lisboa Central, EPE;2017-07;19294;11390
1534;[38.6658713, -9.1822554];Região de Saúde LVT;2640;Hospital Garcia de Orta, EPE;2017-07;8160;5520
1738;[41.56785, -8.398982];Região de Saúde Norte;4888;Hospital de Braga, PPP;2017-07;14584;9696
529;[38.0162314, -8.6956768];Região de Saúde do Alentejo;764;Unidade Local de Saúde do Litoral Alentejano, EPE;2017-08;2955;2191
626;[39.3003425, -7.4263845];Região de Saúde do Alentejo;1371;Unidade Local de Saúde do Norte Alentejano, EPE;2017-08;3747;2376
1851;[39.7414812, -8.7982706];Região de Saúde do Centro;2582;Centro Hospitalar de Leiria, EPE;2017-08;8646;6064
653;[39.8212263, -7.4981271];Região de Saúde do Centro;1441;Unidade Local de Saúde de Castelo Branco, EPE;2017-08;3753;2312
961;[39.478072, -8.5404429];Região de Saúde LVT;1954;Centro Hospitalar Médio Tejo, EPE;2017-08;5815;3861
1538;[38.821455, -9.176296];Região de Saúde LVT;2610;Hospital de Loures, PPP;2017-08;7930;5320
861;[38.977235, -8.984506];Região de Saúde LVT;1908;Hospital de Vila Franca de Xira, PPP;2017-08;7053;5145
1064;[39.2410946, -8.6937515];Região de Saúde LVT;1261;Hospital Distrital de Santarém, EPE;2017-08;4258;2997
380;[38.7396768, -9.1634516];Região de Saúde LVT;2947;Instituto Português Oncologia de Lisboa, EPE;2017-08;4332;1385
736;[41.3828711, -8.7589945];Região de Saúde Norte;1913;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2017-08;3722;1809
1511;[41.7056054, -8.8252713];Região de Saúde Norte;2826;Unidade Local de Saúde do Alto Minho, EPE;2017-08;8845;6019
694;[40.2804158, -7.4922407];Região de Saúde do Centro;1879;Centro Hospitalar Universitário Cova da Beira, EPE;2017-09;4904;3025
5192;[40.2191523, -8.4098211];Região de Saúde do Centro;11249;Centro Hospitalar e Universitário de Coimbra, EPE;2017-09;26275;15026
2190;[38.708454, -9.216985];Região de Saúde LVT;5091;Centro Hospitalar de Lisboa Ocidental, EPE;2017-09;12363;7272
484;[38.7396768, -9.1634516];Região de Saúde LVT;3241;Instituto Português Oncologia de Lisboa, EPE;2017-09;4754;1513
2286;[41.2494561, -8.264901];Região de Saúde Norte;4925;Centro Hospitalar Tâmega e Sousa, EPE;2017-09;16631;11706
383;[41.1785642, -8.6062881];Região de Saúde Norte;4200;Instituto Português Oncologia do Porto, EPE;2017-09;9334;5134
1165;[41.8056532, -6.7888197];Região de Saúde Norte;1343;Unidade Local de Saúde do Nordeste, EPE;2017-09;3233;1890
1584;[40.6362453, -8.6543716];Região de Saúde do Centro;2502;Centro Hospitalar do Baixo Vouga, EPE;2017-10;7408;4906
5874;[38.7166948, -9.1371248];Região de Saúde LVT;11179;Centro Hospitalar Universitário Lisboa Central, EPE;2017-10;26750;15571
1310;[38.5283754, -8.8818638];Região de Saúde LVT;2800;Centro Hospitalar de Setúbal, EPE;2017-10;9355;6555
1636;[39.4054629, -9.1258493];Região de Saúde LVT;1774;Centro Hospitalar do Oeste, EPE;2017-10;4428;2654
1918;[38.821455, -9.176296];Região de Saúde LVT;3270;Hospital de Loures, PPP;2017-10;9919;6649
1080;[38.977235, -8.984506];Região de Saúde LVT;2372;Hospital de Vila Franca de Xira, PPP;2017-10;8641;6269
2529;[41.56785, -8.398982];Região de Saúde Norte;7065;Hospital de Braga, PPP;2017-10;21052;13987
435;[41.1785642, -8.6062881];Região de Saúde Norte;4705;Instituto Português Oncologia do Porto, EPE;2017-10;10434;5729
1912;[41.7056054, -8.8252713];Região de Saúde Norte;3477;Unidade Local de Saúde do Alto Minho, EPE;2017-10;11212;7735
850;[40.2804158, -7.4922407];Região de Saúde do Centro;2380;Centro Hospitalar Universitário Cova da Beira, EPE;2017-11;6078;3698
6359;[40.2191523, -8.4098211];Região de Saúde do Centro;13885;Centro Hospitalar e Universitário de Coimbra, EPE;2017-11;32572;18687
6505;[38.7166948, -9.1371248];Região de Saúde LVT;12339;Centro Hospitalar Universitário Lisboa Central, EPE;2017-11;29545;17206
5397;[41.1831056, -8.6010558];Região de Saúde Norte;15125;Centro Hospitalar Universitário de São João, EPE;2017-11;35647;20522
1045;[41.3828711, -8.7589945];Região de Saúde Norte;2660;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2017-11;5313;2653
2646;[41.1094138, -8.5972617];Região de Saúde Norte;7609;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2017-11;20698;13089
1470;[41.8056532, -6.7888197];Região de Saúde Norte;1651;Unidade Local de Saúde do Nordeste, EPE;2017-11;4163;2512
2143;[40.6362453, -8.6543716];Região de Saúde do Centro;3189;Centro Hospitalar do Baixo Vouga, EPE;2017-12;9162;5973
966;[39.8212263, -7.4981271];Região de Saúde do Centro;2157;Unidade Local de Saúde de Castelo Branco, EPE;2017-12;5635;3478
6005;[38.7500861, -9.1616116];Região de Saúde LVT;13275;Centro Hospitalar Universitário de Lisboa Norte, EPE;2017-12;32411;19136
565;[38.7396768, -9.1634516];Região de Saúde LVT;4411;Instituto Português Oncologia de Lisboa, EPE;2017-12;6356;1945
543;[40.2191523, -8.4098211];Região de Saúde do Centro;1511;Centro Hospitalar e Universitário de Coimbra, EPE;2018-01;3581;2070
45;[40.5309916, -7.2734793];Região de Saúde do Centro;241;Unidade Local de Saúde da Guarda, EPE;2018-01;626;385
61;[38.6554005, -9.0592392];Região de Saúde LVT;213;Centro Hospitalar Barreiro/Montijo, EPE;2018-01;536;323
566;[38.7166948, -9.1371248];Região de Saúde LVT;1322;Centro Hospitalar Universitário Lisboa Central, EPE;2018-01;3027;1705
107;[41.3423984, -8.4802503];Região de Saúde Norte;210;Centro Hospitalar do Médio Ave, EPE;2018-01;736;526
102;[41.3828711, -8.7589945];Região de Saúde Norte;234;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2018-01;594;360
245;[41.56785, -8.398982];Região de Saúde Norte;679;Hospital de Braga, PPP;2018-01;2345;1666
210;[41.7056054, -8.8252713];Região de Saúde Norte;416;Unidade Local de Saúde do Alto Minho, EPE;2018-01;1032;616
117;[38.0162314, -8.6956768];Região de Saúde do Alentejo;219;Unidade Local de Saúde do Litoral Alentejano, EPE;2018-02;597;378
462;[38.708454, -9.216985];Região de Saúde LVT;1190;Centro Hospitalar de Lisboa Ocidental, EPE;2018-02;2904;1714
285;[38.5283754, -8.8818638];Região de Saúde LVT;497;Centro Hospitalar de Setúbal, EPE;2018-02;1805;1308
1013;[38.7500861, -9.1616116];Região de Saúde LVT;2463;Centro Hospitalar Universitário de Lisboa Norte, EPE;2018-02;6103;3640
268;[39.478072, -8.5404429];Região de Saúde LVT;471;Centro Hospitalar Médio Tejo, EPE;2018-02;1536;1065
416;[38.6658713, -9.1822554];Região de Saúde LVT;887;Hospital Garcia de Orta, EPE;2018-02;2478;1591
498;[41.2494561, -8.264901];Região de Saúde Norte;1024;Centro Hospitalar Tâmega e Sousa, EPE;2018-02;3878;2854
23;[41.5324234, -8.6171561];Região de Saúde Norte;242;Hospital Santa Maria Maior, EPE;2018-02;920;678
264;[41.1794456, -8.6745115];Região de Saúde Norte;623;Unidade Local de Saúde de Matosinhos, EPE;2018-02;2173;1550
851;[37.0238973, -7.9281554];Região de Saúde do Algarve;1087;Centro Hospitalar Universitário do Algarve,EPE;2018-03;2512;1425
628;[39.7414812, -8.7982706];Região de Saúde do Centro;834;Centro Hospitalar de Leiria, EPE;2018-03;3456;2622
520;[40.6362453, -8.6543716];Região de Saúde do Centro;992;Centro Hospitalar do Baixo Vouga, EPE;2018-03;3256;2264
167;[40.5309916, -7.2734793];Região de Saúde do Centro;545;Unidade Local de Saúde da Guarda, EPE;2018-03;1621;1076
324;[39.4054629, -9.1258493];Região de Saúde LVT;445;Centro Hospitalar do Oeste, EPE;2018-03;1271;826
399;[39.478072, -8.5404429];Região de Saúde LVT;686;Centro Hospitalar Médio Tejo, EPE;2018-03;2225;1539
539;[38.821455, -9.176296];Região de Saúde LVT;946;Hospital de Loures, PPP;2018-03;3232;2286
282;[41.3828711, -8.7589945];Região de Saúde Norte;657;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2018-03;1584;927
724;[41.2494561, -8.264901];Região de Saúde Norte;1546;Centro Hospitalar Tâmega e Sousa, EPE;2018-03;6055;4509
713;[41.1094138, -8.5972617];Região de Saúde Norte;2065;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2018-03;5980;3915
127;[41.1785642, -8.6062881];Região de Saúde Norte;1472;Instituto Português Oncologia do Porto, EPE;2018-03;3145;1673
591;[41.7056054, -8.8252713];Região de Saúde Norte;1164;Unidade Local de Saúde do Alto Minho, EPE;2018-03;3183;2019
299;[39.3003425, -7.4263845];Região de Saúde do Alentejo;644;Unidade Local de Saúde do Norte Alentejano, EPE;2018-04;1906;1262
508;[38.5283754, -8.8818638];Região de Saúde LVT;967;Centro Hospitalar de Setúbal, EPE;2018-04;3686;2719
516;[39.478072, -8.5404429];Região de Saúde LVT;912;Centro Hospitalar Médio Tejo, EPE;2018-04;2952;2040
394;[41.3828711, -8.7589945];Região de Saúde Norte;850;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2018-04;2036;1186
923;[41.2494561, -8.264901];Região de Saúde Norte;2079;Centro Hospitalar Tâmega e Sousa, EPE;2018-04;8079;6000
709;[41.3031784, -7.7515252];Região de Saúde Norte;1237;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2018-04;3880;2643
524;[41.1794456, -8.6745115];Região de Saúde Norte;1290;Unidade Local de Saúde de Matosinhos, EPE;2018-04;4525;3235
330;[38.0162314, -8.6956768];Região de Saúde do Alentejo;447;Unidade Local de Saúde do Litoral Alentejano, EPE;2018-05;1598;1151
855;[40.6362453, -8.6543716];Região de Saúde do Centro;1579;Centro Hospitalar do Baixo Vouga, EPE;2018-05;5189;3610
350;[40.117897, -8.8586755];Região de Saúde do Centro;719;Hospital Distrital da Figueira da Foz, EPE;2018-05;2804;2085
934;[38.821455, -9.176296];Região de Saúde LVT;1524;Hospital de Loures, PPP;2018-05;5519;3995
589;[41.3423984, -8.4802503];Região de Saúde Norte;815;Centro Hospitalar do Médio Ave, EPE;2018-05;3010;2195
955;[41.7056054, -8.8252713];Região de Saúde Norte;1908;Unidade Local de Saúde do Alto Minho, EPE;2018-05;5300;3392
593;[41.8056532, -6.7888197];Região de Saúde Norte;746;Unidade Local de Saúde do Nordeste, EPE;2018-05;2046;1300
836;[38.5684861, -7.9032848];Região de Saúde do Alentejo;2199;Hospital Espírito Santo de Évora, EPE;2018-06;6243;4044
595;[38.014123, -7.8721227];Região de Saúde do Alentejo;768;Unidade Local de Saúde do Baixo Alentejo, EPE;2018-06;1962;1194
422;[39.8212263, -7.4981271];Região de Saúde do Centro;1276;Unidade Local de Saúde de Castelo Branco, EPE;2018-06;2898;1622
1478;[38.708454, -9.216985];Região de Saúde LVT;3466;Centro Hospitalar de Lisboa Ocidental, EPE;2018-06;8654;5188
563;[39.4054629, -9.1258493];Região de Saúde LVT;925;Centro Hospitalar do Oeste, EPE;2018-06;2598;1673
3037;[38.7500861, -9.1616116];Região de Saúde LVT;6612;Centro Hospitalar Universitário de Lisboa Norte, EPE;2018-06;17224;10612
780;[39.478072, -8.5404429];Região de Saúde LVT;1310;Centro Hospitalar Médio Tejo, EPE;2018-06;4422;3112
1025;[38.729006, -9.418267];Região de Saúde LVT;987;Hospital de Cascais, PPP;2018-06;4168;3181
856;[38.977235, -8.984506];Região de Saúde LVT;1368;Hospital de Vila Franca de Xira, PPP;2018-06;5085;3717
1260;[38.6658713, -9.1822554];Região de Saúde LVT;2328;Hospital Garcia de Orta, EPE;2018-06;7178;4850
697;[41.3423984, -8.4802503];Região de Saúde Norte;977;Centro Hospitalar do Médio Ave, EPE;2018-06;3584;2607
1172;[40.9293884, -8.5458794];Região de Saúde Norte;2749;Centro Hospitalar Entre Douro e Vouga, EPE;2018-06;8548;5799
1439;[41.1094138, -8.5972617];Região de Saúde Norte;4109;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2018-06;11575;7466
1591;[41.56785, -8.398982];Região de Saúde Norte;4238;Hospital de Braga, PPP;2018-06;13391;9153
65;[41.5324234, -8.6171561];Região de Saúde Norte;692;Hospital Santa Maria Maior, EPE;2018-06;2816;2124
1133;[40.6362453, -8.6543716];Região de Saúde do Centro;2141;Centro Hospitalar do Baixo Vouga, EPE;2018-07;7206;5065
477;[40.5309916, -7.2734793];Região de Saúde do Centro;1239;Unidade Local de Saúde da Guarda, EPE;2018-07;3779;2540
655;[39.4054629, -9.1258493];Região de Saúde LVT;1088;Centro Hospitalar do Oeste, EPE;2018-07;3035;1947
1483;[38.6658713, -9.1822554];Região de Saúde LVT;2684;Hospital Garcia de Orta, EPE;2018-07;8409;5725
3166;[41.1831056, -8.6010558];Região de Saúde Norte;9939;Centro Hospitalar Universitário de São João, EPE;2018-07;24693;14754
1699;[41.1094138, -8.5972617];Região de Saúde Norte;4776;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2018-07;13491;8715
1885;[41.56785, -8.398982];Região de Saúde Norte;5091;Hospital de Braga, PPP;2018-07;15905;10814
1973;[40.516364, -8.0827433];Região de Saúde do Centro;3435;Centro Hospitalar Tondela-Viseu, EPE;2018-08;10788;7353
553;[40.5309916, -7.2734793];Região de Saúde do Centro;1366;Unidade Local de Saúde da Guarda, EPE;2018-08;4146;2780
1710;[38.6658713, -9.1822554];Região de Saúde LVT;3000;Hospital Garcia de Orta, EPE;2018-08;9433;6433
1454;[41.4387173, -8.3086907];Região de Saúde Norte;3255;Hospital da Senhora da Oliveira, Guimarães, EPE;2018-08;7467;4212
2204;[41.56785, -8.398982];Região de Saúde Norte;5897;Hospital de Braga, PPP;2018-08;18306;12409
758;[40.2804158, -7.4922407];Região de Saúde do Centro;1983;Centro Hospitalar Universitário Cova da Beira, EPE;2018-09;4949;2966
2035;[39.7414812, -8.7982706];Região de Saúde do Centro;2230;Centro Hospitalar de Leiria, EPE;2018-09;9527;7297
1407;[40.6362453, -8.6543716];Região de Saúde do Centro;2536;Centro Hospitalar do Baixo Vouga, EPE;2018-09;8423;5887
2297;[38.708454, -9.216985];Região de Saúde LVT;4865;Centro Hospitalar de Lisboa Ocidental, EPE;2018-09;12450;7585
1339;[38.977235, -8.984506];Região de Saúde LVT;2069;Hospital de Vila Franca de Xira, PPP;2018-09;7799;5730
533;[38.7396768, -9.1634516];Região de Saúde LVT;3367;Instituto Português Oncologia de Lisboa, EPE;2018-09;4487;1120
1042;[41.3423984, -8.4802503];Região de Saúde Norte;1365;Centro Hospitalar do Médio Ave, EPE;2018-09;4895;3530
3979;[41.1472498, -8.6172617];Região de Saúde Norte;8078;Centro Hospitalar Universitário do Porto, EPE;2018-09;23274;15196
410;[41.1785642, -8.6062881];Região de Saúde Norte;4289;Instituto Português Oncologia do Porto, EPE;2018-09;8979;4690
1262;[41.1794456, -8.6745115];Região de Saúde Norte;2780;Unidade Local de Saúde de Matosinhos, EPE;2018-09;10265;7485
718;[38.0162314, -8.6956768];Região de Saúde do Alentejo;811;Unidade Local de Saúde do Litoral Alentejano, EPE;2018-10;3165;2354
1980;[38.821455, -9.176296];Região de Saúde LVT;3064;Hospital de Loures, PPP;2018-10;11030;7966
1990;[38.7422257, -9.2264834];Região de Saúde LVT;4352;Hospital Professor Doutor Fernando Fonseca, EPE;2018-10;13141;8789
4670;[41.1831056, -8.6010558];Região de Saúde Norte;13424;Centro Hospitalar Universitário de São João, EPE;2018-10;33313;19889
1977;[40.9293884, -8.5458794];Região de Saúde Norte;4676;Centro Hospitalar Entre Douro e Vouga, EPE;2018-10;13833;9157
2809;[41.56785, -8.398982];Região de Saúde Norte;7406;Hospital de Braga, PPP;2018-10;22718;15312
769;[38.0162314, -8.6956768];Região de Saúde do Alentejo;879;Unidade Local de Saúde do Litoral Alentejano, EPE;2018-11;3607;2728
890;[39.3003425, -7.4263845];Região de Saúde do Alentejo;1678;Unidade Local de Saúde do Norte Alentejano, EPE;2018-11;5084;3406
1695;[38.977235, -8.984506];Região de Saúde LVT;2558;Hospital de Vila Franca de Xira, PPP;2018-11;9508;6950
5137;[41.1831056, -8.6010558];Região de Saúde Norte;14493;Centro Hospitalar Universitário de São João, EPE;2018-11;36019;21526
2168;[41.3031784, -7.7515252];Região de Saúde Norte;3045;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2018-11;10025;6980
1032;[40.2804158, -7.4922407];Região de Saúde do Centro;2588;Centro Hospitalar Universitário Cova da Beira, EPE;2018-12;6727;4139
2691;[39.7414812, -8.7982706];Região de Saúde do Centro;2980;Centro Hospitalar de Leiria, EPE;2018-12;12325;9345
2963;[40.516364, -8.0827433];Região de Saúde do Centro;5128;Centro Hospitalar Tondela-Viseu, EPE;2018-12;17493;12365
7045;[38.7166948, -9.1371248];Região de Saúde LVT;12590;Centro Hospitalar Universitário Lisboa Central, EPE;2018-12;30759;18169
